,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
114,13,10,13,12,Michigan,14,Virginia,26,/teams/events/match_report/?EventGameId=WtAZlGtXa3JRAQ1nn%2fwPrlLJ%2bXEC2E6dJ3p%2f%2foaOe4Q%3d
115,12,8,12,14,Virginia,12,Michigan,27,/teams/events/match_report/?EventGameId=WtAZlGtXa3JRAQ1nn%2fwPrlLJ%2bXEC2E6dJ3p%2f%2foaOe4Q%3d
116,15,7,15,12,Tufts,15,UCLA,17,/teams/events/match_report/?EventGameId=flQj3X94qbtzVK1FCeIcTQ5JC2ORyY0OGcOjuT2FUKk%3d
117,12,9,12,15,UCLA,12,Tufts,19,/teams/events/match_report/?EventGameId=flQj3X94qbtzVK1FCeIcTQ5JC2ORyY0OGcOjuT2FUKk%3d
118,15,7,15,12,Tufts,15,UCLA,17,/teams/events/match_report/?EventGameId=flQj3X94qbtzVK1FCeIcTQ5JC2ORyY0OGcOjuT2FUKk%3d
119,12,9,12,15,UCLA,12,Tufts,19,/teams/events/match_report/?EventGameId=flQj3X94qbtzVK1FCeIcTQ5JC2ORyY0OGcOjuT2FUKk%3d
120,15,16,15,8,North Carolina,15,British Columbia,25,/teams/events/match_report/?EventGameId=%2bVWjMpw2Vuzbfmg2BT4fk5qPCMHINV60NEEVG8YVfoI%3d
121,7,9,8,15,British Columbia,8,North Carolina,31,/teams/events/match_report/?EventGameId=%2bVWjMpw2Vuzbfmg2BT4fk5qPCMHINV60NEEVG8YVfoI%3d
122,15,16,15,8,North Carolina,15,British Columbia,25,/teams/events/match_report/?EventGameId=%2bVWjMpw2Vuzbfmg2BT4fk5qPCMHINV60NEEVG8YVfoI%3d
123,7,9,8,15,British Columbia,8,North Carolina,31,/teams/events/match_report/?EventGameId=%2bVWjMpw2Vuzbfmg2BT4fk5qPCMHINV60NEEVG8YVfoI%3d
124,15,21,15,3,Connecticut,15,California,51,/teams/events/match_report/?EventGameId=H7ab0ZL9hhY9%2fnxCKZ7CuW74bj9ClveG6aBOsa1kxuk%3d
125,3,14,3,15,California,3,Connecticut,60,/teams/events/match_report/?EventGameId=H7ab0ZL9hhY9%2fnxCKZ7CuW74bj9ClveG6aBOsa1kxuk%3d
126,15,21,15,3,Connecticut,15,California,51,/teams/events/match_report/?EventGameId=H7ab0ZL9hhY9%2fnxCKZ7CuW74bj9ClveG6aBOsa1kxuk%3d
127,3,14,3,15,California,3,Connecticut,60,/teams/events/match_report/?EventGameId=H7ab0ZL9hhY9%2fnxCKZ7CuW74bj9ClveG6aBOsa1kxuk%3d
128,15,13,15,6,Connecticut,15,Texas,28,/teams/events/match_report/?EventGameId=9jMbsEqyojnp%2fihtIJ0t%2bvtbYCIHyobiU6nJbCeK%2bLU%3d
129,6,10,6,15,Texas,6,Connecticut,35,/teams/events/match_report/?EventGameId=9jMbsEqyojnp%2fihtIJ0t%2bvtbYCIHyobiU6nJbCeK%2bLU%3d
130,15,13,15,6,Connecticut,15,Texas,28,/teams/events/match_report/?EventGameId=9jMbsEqyojnp%2fihtIJ0t%2bvtbYCIHyobiU6nJbCeK%2bLU%3d
131,6,10,6,15,Texas,6,Connecticut,35,/teams/events/match_report/?EventGameId=9jMbsEqyojnp%2fihtIJ0t%2bvtbYCIHyobiU6nJbCeK%2bLU%3d
132,14,10,14,12,North Carolina,14,California,27,/teams/events/match_report/?EventGameId=optKmRpN59QarfaumQW1NkZZ4xmuxfS4SqdMXpow%2bB8%3d
133,12,9,12,14,California,12,North Carolina,30,/teams/events/match_report/?EventGameId=optKmRpN59QarfaumQW1NkZZ4xmuxfS4SqdMXpow%2bB8%3d
134,14,10,14,12,North Carolina,14,California,27,/teams/events/match_report/?EventGameId=optKmRpN59QarfaumQW1NkZZ4xmuxfS4SqdMXpow%2bB8%3d
135,12,9,12,14,California,12,North Carolina,30,/teams/events/match_report/?EventGameId=optKmRpN59QarfaumQW1NkZZ4xmuxfS4SqdMXpow%2bB8%3d
136,13,4,13,14,British Columbia,13,Texas,25,/teams/events/match_report/?EventGameId=gfQj5jZO2Me%2bTUgHcRA5QJr%2f1ECSfE5XjqUWH3ovZ5U%3d
137,14,12,14,13,Texas,14,British Columbia,23,/teams/events/match_report/?EventGameId=gfQj5jZO2Me%2bTUgHcRA5QJr%2f1ECSfE5XjqUWH3ovZ5U%3d
138,13,4,13,14,British Columbia,13,Texas,25,/teams/events/match_report/?EventGameId=gfQj5jZO2Me%2bTUgHcRA5QJr%2f1ECSfE5XjqUWH3ovZ5U%3d
139,14,12,14,13,Texas,14,British Columbia,23,/teams/events/match_report/?EventGameId=gfQj5jZO2Me%2bTUgHcRA5QJr%2f1ECSfE5XjqUWH3ovZ5U%3d
140,15,4,15,9,California,15,Texas,21,/teams/events/match_report/?EventGameId=hqQUaEX0c2JWTTbLEG7zWrIWkUMmKOH6CUfgC6%2fX77g%3d
141,9,9,9,15,Texas,9,California,24,/teams/events/match_report/?EventGameId=hqQUaEX0c2JWTTbLEG7zWrIWkUMmKOH6CUfgC6%2fX77g%3d
142,15,4,15,9,California,15,Texas,21,/teams/events/match_report/?EventGameId=hqQUaEX0c2JWTTbLEG7zWrIWkUMmKOH6CUfgC6%2fX77g%3d
143,9,9,9,15,Texas,9,California,24,/teams/events/match_report/?EventGameId=hqQUaEX0c2JWTTbLEG7zWrIWkUMmKOH6CUfgC6%2fX77g%3d
144,15,8,15,7,Connecticut,15,North Carolina,35,/teams/events/match_report/?EventGameId=cA5xTsj4Cki%2fzYFOX9UKd%2fIEmV5%2bJhvtUOe3E%2f7WZ5o%3d
145,7,13,7,15,North Carolina,7,Connecticut,41,/teams/events/match_report/?EventGameId=cA5xTsj4Cki%2fzYFOX9UKd%2fIEmV5%2bJhvtUOe3E%2f7WZ5o%3d
146,15,8,15,7,Connecticut,15,North Carolina,35,/teams/events/match_report/?EventGameId=cA5xTsj4Cki%2fzYFOX9UKd%2fIEmV5%2bJhvtUOe3E%2f7WZ5o%3d
147,7,13,7,15,North Carolina,7,Connecticut,41,/teams/events/match_report/?EventGameId=cA5xTsj4Cki%2fzYFOX9UKd%2fIEmV5%2bJhvtUOe3E%2f7WZ5o%3d
148,15,10,15,3,Connecticut,15,British Columbia,19,/teams/events/match_report/?EventGameId=6NFbHPT3vM0WS3vM8nKhpcZjeV6tfQhdaKSNxsodFxw%3d
149,3,4,3,15,British Columbia,3,Connecticut,29,/teams/events/match_report/?EventGameId=6NFbHPT3vM0WS3vM8nKhpcZjeV6tfQhdaKSNxsodFxw%3d
150,15,10,15,3,Connecticut,15,British Columbia,19,/teams/events/match_report/?EventGameId=6NFbHPT3vM0WS3vM8nKhpcZjeV6tfQhdaKSNxsodFxw%3d
151,3,4,3,15,British Columbia,3,Connecticut,29,/teams/events/match_report/?EventGameId=6NFbHPT3vM0WS3vM8nKhpcZjeV6tfQhdaKSNxsodFxw%3d
152,15,4,15,8,North Carolina,15,Texas,14,/teams/events/match_report/?EventGameId=H4T0AhKUcLnodM4hzYoQgcqUEnlT1w8adIs2xc221y8%3d
153,8,5,8,15,Texas,8,North Carolina,19,/teams/events/match_report/?EventGameId=H4T0AhKUcLnodM4hzYoQgcqUEnlT1w8adIs2xc221y8%3d
154,15,4,15,8,North Carolina,15,Texas,14,/teams/events/match_report/?EventGameId=H4T0AhKUcLnodM4hzYoQgcqUEnlT1w8adIs2xc221y8%3d
155,8,5,8,15,Texas,8,North Carolina,19,/teams/events/match_report/?EventGameId=H4T0AhKUcLnodM4hzYoQgcqUEnlT1w8adIs2xc221y8%3d
156,15,13,15,5,California,15,British Columbia,23,/teams/events/match_report/?EventGameId=dxYUTRklevafyP9FdkPwQq5mgmygLicxv42M80TbKrE%3d
157,5,7,5,15,British Columbia,5,California,32,/teams/events/match_report/?EventGameId=dxYUTRklevafyP9FdkPwQq5mgmygLicxv42M80TbKrE%3d
158,15,13,15,5,California,15,British Columbia,23,/teams/events/match_report/?EventGameId=dxYUTRklevafyP9FdkPwQq5mgmygLicxv42M80TbKrE%3d
159,5,7,5,15,British Columbia,5,California,32,/teams/events/match_report/?EventGameId=dxYUTRklevafyP9FdkPwQq5mgmygLicxv42M80TbKrE%3d
160,0,0,0,0,Dartmouth,0,Stanford,0,/teams/events/match_report/?EventGameId=snCCrWwTfWn1kVjdz5TkucpJNiS4A6oYzaQAlaGLWLI%3d
161,0,0,0,0,Stanford,0,Dartmouth,0,/teams/events/match_report/?EventGameId=snCCrWwTfWn1kVjdz5TkucpJNiS4A6oYzaQAlaGLWLI%3d
162,0,0,0,0,Virginia,0,British Columbia,0,/teams/events/match_report/?EventGameId=T8mdKfRTbhCd0w0RPfA7iW4prsoWCipmerpXVyqVixU%3d
163,0,0,0,0,British Columbia,0,Virginia,0,/teams/events/match_report/?EventGameId=T8mdKfRTbhCd0w0RPfA7iW4prsoWCipmerpXVyqVixU%3d
