,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
6,9,Alexandra Stambaugh,ALEXANDRA STAMBAUGH,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
7,10,Malina Wiebe,MALINA WIEBE,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
8,11,Iris Leung,IRIS LEUNG,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
9,12,Heather Waugh,HEATHER WAUGH,0,0,1,1,0,2,2,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
10,13,Marie Laurenza,MARIE LAURENZA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
11,14,Emmy Kolanz,EMMY KOLANZ,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
12,15,Anne Rempel,ANNE REMPEL,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
13,16,Jennifer Founds,JENNIFER FOUNDS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
14,17,Abigail Edwardsvanmuijen,ABIGAIL EDWARDSVANMUIJEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
15,18,Shannon Bubb,SHANNON BUBB,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Nightlock,8,11,Heist,13,9
