,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
79,12,8,13,7,Phoenix,13,Ozone,22,/teams/events/match_report/?EventGameId=VpFQaXPUPtx4fvERJpvbM15dVcYzrXGQCKC1BzTk1xM%3d
80,13,16,14,10,Iris,14,Phoenix,35,/teams/events/match_report/?EventGameId=28oDmArlb8odnPjSZvsMy72TrqJGtiLwy%2bSu1tb3%2bEI%3d
81,10,14,10,14,Phoenix,10,Iris,37,/teams/events/match_report/?EventGameId=28oDmArlb8odnPjSZvsMy72TrqJGtiLwy%2bSu1tb3%2bEI%3d
82,11,11,11,9,Schwa,11,Ozone,36,/teams/events/match_report/?EventGameId=clRC%2b1CjkUFuBgVPPkKhScdi8jM%2bF5VTRILuZ4HcOUQ%3d
83,9,7,9,11,Ozone,9,Schwa,38,/teams/events/match_report/?EventGameId=clRC%2b1CjkUFuBgVPPkKhScdi8jM%2bF5VTRILuZ4HcOUQ%3d
84,15,9,15,8,Nightlock,15,Heist,13,/teams/events/match_report/?EventGameId=uK4dh0DR9HgQY9vQBjdh9qTNkVvfrxOnpVNsc2ITPbk%3d
85,8,6,8,15,Heist,8,Nightlock,19,/teams/events/match_report/?EventGameId=uK4dh0DR9HgQY9vQBjdh9qTNkVvfrxOnpVNsc2ITPbk%3d
86,10,10,10,14,Heist,10,Rival,29,/teams/events/match_report/?EventGameId=MCiJe6imJa0leCyoCB0cSngbQ6So0AQDYfC2ooF7p%2bY%3d
87,14,12,14,10,Rival,14,Heist,28,/teams/events/match_report/?EventGameId=MCiJe6imJa0leCyoCB0cSngbQ6So0AQDYfC2ooF7p%2bY%3d
88,14,16,14,10,Green Means Go,14,Rival,27,/teams/events/match_report/?EventGameId=w2H%2fuKMgi2p3O4H%2fxY3nlTsk66z%2bNDtulDDGRJ7RIFs%3d
89,10,15,9,14,Rival,10,Green Means Go,27,/teams/events/match_report/?EventGameId=w2H%2fuKMgi2p3O4H%2fxY3nlTsk66z%2bNDtulDDGRJ7RIFs%3d
90,5,5,5,15,Heist,5,Wildfire,35,/teams/events/match_report/?EventGameId=P1qzmazu6wcHbmSutnBpQX5dnbxJpEEzjRTdJDobei0%3d
91,15,14,15,5,Wildfire,15,Heist,28,/teams/events/match_report/?EventGameId=P1qzmazu6wcHbmSutnBpQX5dnbxJpEEzjRTdJDobei0%3d
92,15,5,15,11,Rival,15,Phoenix,17,/teams/events/match_report/?EventGameId=Z5xWDF%2fCWU1X%2fI7o0vdCaTmVVKREEUXWTf%2f7dzLC%2bvE%3d
93,11,9,11,15,Phoenix,11,Rival,19,/teams/events/match_report/?EventGameId=Z5xWDF%2fCWU1X%2fI7o0vdCaTmVVKREEUXWTf%2f7dzLC%2bvE%3d
94,14,18,15,10,Wildfire,15,Iris,20,/teams/events/match_report/?EventGameId=LuVh2avUWhmkKl8Z%2fLlIzGxRos4VWlmepYAMFAHuKtw%3d
95,9,10,10,15,Iris,10,Wildfire,23,/teams/events/match_report/?EventGameId=LuVh2avUWhmkKl8Z%2fLlIzGxRos4VWlmepYAMFAHuKtw%3d
96,12,8,12,9,Schwa,12,Iris,22,/teams/events/match_report/?EventGameId=kplNSaPTXNHgspLXdq0jNRYCMipZQdifm7OHgECGrVg%3d
97,9,4,9,12,Iris,9,Schwa,27,/teams/events/match_report/?EventGameId=kplNSaPTXNHgspLXdq0jNRYCMipZQdifm7OHgECGrVg%3d
98,7,11,7,10,Wildfire,7,Green Means Go,18,/teams/events/match_report/?EventGameId=30VohcUGRlKLGUp8mD%2bjcNdhn7tuGKF%2bDhdBIetKuhw%3d
99,9,14,10,7,Green Means Go,10,Wildfire,18,/teams/events/match_report/?EventGameId=30VohcUGRlKLGUp8mD%2bjcNdhn7tuGKF%2bDhdBIetKuhw%3d
100,12,6,12,13,Green Means Go,12,Schwa,18,/teams/events/match_report/?EventGameId=ffXQzy39gddAFz2pHxDmlZ5h8vlhcwu5mMnK4FLAV3M%3d
101,12,13,13,12,Schwa,13,Green Means Go,14,/teams/events/match_report/?EventGameId=ffXQzy39gddAFz2pHxDmlZ5h8vlhcwu5mMnK4FLAV3M%3d
102,7,11,8,11,Green Means Go,7,Wildfire,34,/teams/events/match_report/?EventGameId=3TsM8E8PyUpK2heEfW0QQMZyscTEcc0NY53Hg4dURX8%3d
103,10,21,10,7,Wildfire,11,Green Means Go,32,/teams/events/match_report/?EventGameId=3TsM8E8PyUpK2heEfW0QQMZyscTEcc0NY53Hg4dURX8%3d
104,10,9,10,9,Iris,10,Ozone,27,/teams/events/match_report/?EventGameId=4W%2fXfAQMsHN2HPCjZqDqrB4QTViZHKNwdNsBwFbvWc0%3d
105,9,9,8,10,Ozone,9,Iris,26,/teams/events/match_report/?EventGameId=4W%2fXfAQMsHN2HPCjZqDqrB4QTViZHKNwdNsBwFbvWc0%3d
