,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,0,0,0,9,9,Pop,8,13,Heist,0,/teams/events/match_report/?EventGameId=Er5Aw2jKdNYWJBtVfkxnysnsqg5O2Jo0B8sMOladrPI%3d
1,0,0,0,8,13,Heist,9,9,Pop,0,/teams/events/match_report/?EventGameId=Er5Aw2jKdNYWJBtVfkxnysnsqg5O2Jo0B8sMOladrPI%3d
0,0,0,0,9,10,Rival,10,5,Schwa,0,/teams/events/match_report/?EventGameId=pUYfnZf%2bTBi0MorzIqvQIX8IG8ueWVwlD0xNr%2f8HDnw%3d
1,0,0,0,10,5,Schwa,9,10,Rival,0,/teams/events/match_report/?EventGameId=pUYfnZf%2bTBi0MorzIqvQIX8IG8ueWVwlD0xNr%2f8HDnw%3d
0,0,0,0,13,4,Nightlock,6,13,Heist,0,/teams/events/match_report/?EventGameId=2TPLUctnHYu88CKHFC8DTScu%2f%2bzKF8v88ED8N3vWV7c%3d
1,0,0,0,6,13,Heist,13,4,Nightlock,0,/teams/events/match_report/?EventGameId=2TPLUctnHYu88CKHFC8DTScu%2f%2bzKF8v88ED8N3vWV7c%3d
0,8,1,9,13,16,Colorado Small Batch,9,9,Pop,9,/teams/events/match_report/?EventGameId=r9kFxRGi32zcYsDANEwuctzWbWc6OFAEJZHVkrAm3gk%3d
1,0,1,1,9,9,Pop,13,16,Colorado Small Batch,1,/teams/events/match_report/?EventGameId=r9kFxRGi32zcYsDANEwuctzWbWc6OFAEJZHVkrAm3gk%3d
0,7,2,3,6,8,Nemesis,13,1,Molly Brown,5,/teams/events/match_report/?EventGameId=AwlplUmbWtB1Z7moEoelvm8vsvGeuKMLIwNr7WRyjbo%3d
1,6,7,5,13,1,Molly Brown,6,8,Nemesis,11,/teams/events/match_report/?EventGameId=AwlplUmbWtB1Z7moEoelvm8vsvGeuKMLIwNr7WRyjbo%3d
0,0,0,0,7,15,Wicked,11,7,Wildfire,0,/teams/events/match_report/?EventGameId=PGYbBtE7Qesi1jjT%2b1UTrR9uVOWfORadCcABFbYATAU%3d
1,0,0,0,11,7,Wildfire,7,15,Wicked,0,/teams/events/match_report/?EventGameId=PGYbBtE7Qesi1jjT%2b1UTrR9uVOWfORadCcABFbYATAU%3d
0,0,0,0,7,11,Phoenix,13,1,Molly Brown,0,/teams/events/match_report/?EventGameId=%2fJvX30SHhtXnY7svwYmsSD2rDBJI9s5Ub%2buCFK6ecF4%3d
1,0,0,0,13,1,Molly Brown,7,11,Phoenix,0,/teams/events/match_report/?EventGameId=%2fJvX30SHhtXnY7svwYmsSD2rDBJI9s5Ub%2buCFK6ecF4%3d
0,0,0,0,7,12,Showdown,13,3,6ixers,0,/teams/events/match_report/?EventGameId=C%2bch2s9zvbyVNah56QzBw17ORZPcSCf3GOS4uozpTco%3d
1,0,0,0,13,3,6ixers,7,12,Showdown,0,/teams/events/match_report/?EventGameId=C%2bch2s9zvbyVNah56QzBw17ORZPcSCf3GOS4uozpTco%3d
