,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
9,14.0,Josie Veal,,,,3.0,1.0,,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,JOSIE VEAL
10,16.0,Leah Tsinajinnie,,,,,,,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,LEAH TSINAJINNIE
11,19.0,Kayla Emrick,,,,3.0,,2.0,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,KAYLA EMRICK
12,20.0,India Stubbs,,,3.0,5.0,,3.0,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,INDIA STUBBS
13,24.0,Katherine Wooten,Handler,"5'11""",3.0,7.0,,1.0,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,KATHERINE WOOTEN
14,25.0,Katherine Hines,,,1.0,,,1.0,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,KATHERINE HINES
15,26.0,Catherine Woodhurst,Handler,"5'10""",,2.0,,,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,CATHERINE WOODHURST
16,27.0,Meg Harris,,,5.0,4.0,1.0,3.0,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,MEG HARRIS
17,31.0,Samantha Stovall,,,,,,,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,SAMANTHA STOVALL
18,52.0,Erynn Schroeder,Handler,"5'6""",6.0,2.0,3.0,3.0,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,ERYNN SCHROEDER
19,99.0,Marie Perivier,,,,,,,/events/teams/?EventTeamId=odTafUUbU8rIBxnx8GiJ0xEfqRmgmvOwclDYlO0gU6g%3d,Ozone,6,MARIE PERIVIER
0,,Ashleigh Buch,Defense (Cutter),"5'8""",,,,,/events/teams/?EventTeamId=%2bo%2fSkfSgrWPZfB1uwRrQEQbbrFMAxpNCRP24adcWRRg%3d,Wicked,15,ASHLEIGH BUCH
