,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
27,9,9,9,15,Steamboat,9,No Touching!,28,/teams/events/match_report/?EventGameId=YkWKiXZdNKeN3pDcLI%2fkFD4FdNsTtsBo7DLatimVIeY%3d
28,14,23,15,9,No Touching!,15,Drag'n Thrust,32,/teams/events/match_report/?EventGameId=dK5vqyK9uRefyOCoNs4VH4nlSwJWiOqg9ePJUGY%2bsd0%3d
29,9,7,9,15,Drag'n Thrust,9,No Touching!,36,/teams/events/match_report/?EventGameId=dK5vqyK9uRefyOCoNs4VH4nlSwJWiOqg9ePJUGY%2bsd0%3d
30,13,11,14,11,Love Tractor,14,Steamboat,30,/teams/events/match_report/?EventGameId=KhuUArkKfyznq8GGEV1VHDlGK3bo7zqkZFgtQBabse8%3d
31,11,10,11,14,Steamboat,11,Love Tractor,32,/teams/events/match_report/?EventGameId=KhuUArkKfyznq8GGEV1VHDlGK3bo7zqkZFgtQBabse8%3d
32,14,13,13,10,Steamboat,14,Drag'n Thrust,33,/teams/events/match_report/?EventGameId=u91k6c2fryLJoQYVnIsbrLrLjBvqsbNibiL4yIWOGT8%3d
33,10,8,10,14,Drag'n Thrust,10,Steamboat,36,/teams/events/match_report/?EventGameId=u91k6c2fryLJoQYVnIsbrLrLjBvqsbNibiL4yIWOGT8%3d
34,8,4,9,15,No Touching!,9,Love Tractor,19,/teams/events/match_report/?EventGameId=qtG9HYR6DHmiWzU8E6ryplhe%2fp6xfhBXBV77DivzNhY%3d
35,12,4,15,9,Love Tractor,15,No Touching!,22,/teams/events/match_report/?EventGameId=qtG9HYR6DHmiWzU8E6ryplhe%2fp6xfhBXBV77DivzNhY%3d
36,16,4,16,15,shame.,16,Seattle Mixtape,11,/teams/events/match_report/?EventGameId=S%2fTh6U%2f%2bHNZ9k5va0XSDG4K%2bJbSvff40oTSR7wDCx%2fM%3d
37,14,7,14,16,Seattle Mixtape,15,shame.,7,/teams/events/match_report/?EventGameId=S%2fTh6U%2f%2bHNZ9k5va0XSDG4K%2bJbSvff40oTSR7wDCx%2fM%3d
38,12,14,12,9,G-Unit,12,Mischief,23,/teams/events/match_report/?EventGameId=WHMqa9GZT6m%2fZzzGSVG2ESe3SWxvFMwc0c0y9VY17Xk%3d
39,9,12,9,12,Mischief,9,G-Unit,29,/teams/events/match_report/?EventGameId=WHMqa9GZT6m%2fZzzGSVG2ESe3SWxvFMwc0c0y9VY17Xk%3d
40,15,10,15,11,G-Unit,15,Seattle Mixtape,45,/teams/events/match_report/?EventGameId=yvecZNur%2fLYauRUMOarcP54uxtli3kA00zgUk9A390I%3d
41,11,6,11,15,Seattle Mixtape,11,G-Unit,48,/teams/events/match_report/?EventGameId=yvecZNur%2fLYauRUMOarcP54uxtli3kA00zgUk9A390I%3d
42,15,7,15,11,shame.,15,Mischief,19,/teams/events/match_report/?EventGameId=WcTp4MyPoci0f99xYSCcVT%2bWpoyOms5JBz6G0nO77KQ%3d
43,10,6,11,15,Mischief,11,shame.,22,/teams/events/match_report/?EventGameId=WcTp4MyPoci0f99xYSCcVT%2bWpoyOms5JBz6G0nO77KQ%3d
44,11,8,11,12,Mischief,11,Seattle Mixtape,23,/teams/events/match_report/?EventGameId=Yfotyl%2bcjXX%2fqWcD0BPxzpO5K2HEEjjjH4eDBEPlJ%2fg%3d
45,12,13,12,11,Seattle Mixtape,12,Mischief,25,/teams/events/match_report/?EventGameId=Yfotyl%2bcjXX%2fqWcD0BPxzpO5K2HEEjjjH4eDBEPlJ%2fg%3d
46,13,11,13,5,G-Unit,13,shame.,37,/teams/events/match_report/?EventGameId=8sUT2N4rNp503EVhd%2f1%2fsYQAwuHlgc6PwHXTeeH3Wsc%3d
47,5,12,5,13,shame.,5,G-Unit,45,/teams/events/match_report/?EventGameId=8sUT2N4rNp503EVhd%2f1%2fsYQAwuHlgc6PwHXTeeH3Wsc%3d
48,11,5,11,15,Slow White,11,Metro North,15,/teams/events/match_report/?EventGameId=6Vm0%2f6PYO5DAMAcroqQIEs%2fWRNbGNdmgM45fPla83u4%3d
49,15,12,15,11,Metro North,15,Slow White,8,/teams/events/match_report/?EventGameId=6Vm0%2f6PYO5DAMAcroqQIEs%2fWRNbGNdmgM45fPla83u4%3d
50,13,9,14,11,Mischief,14,Metro North,14,/teams/events/match_report/?EventGameId=lfNegHz%2fzPOYtIpGFwuV3DdiSz%2btpI4msJMLWr0GMlo%3d
51,11,5,11,14,Metro North,11,Mischief,16,/teams/events/match_report/?EventGameId=lfNegHz%2fzPOYtIpGFwuV3DdiSz%2btpI4msJMLWr0GMlo%3d
52,9,12,9,15,Slow White,9,Drag'n Thrust,21,/teams/events/match_report/?EventGameId=%2b90ZC34%2bW5TTEcYD2eH6VUx%2bPzwsy1%2bOcoU0E6K7blc%3d
53,15,10,15,9,Drag'n Thrust,15,Slow White,16,/teams/events/match_report/?EventGameId=%2b90ZC34%2bW5TTEcYD2eH6VUx%2bPzwsy1%2bOcoU0E6K7blc%3d
54,14,8,15,7,NOISE,15,Metro North,19,/teams/events/match_report/?EventGameId=h%2fRTF5bQ53mVq9Ecv1vH5f04GJQfdl3HFJ3Yyrhcv4Y%3d
55,7,5,7,15,Metro North,7,NOISE,26,/teams/events/match_report/?EventGameId=h%2fRTF5bQ53mVq9Ecv1vH5f04GJQfdl3HFJ3Yyrhcv4Y%3d
56,9,5,9,11,Mischief,9,Steamboat,21,/teams/events/match_report/?EventGameId=BhGm0zItLG50xvg14%2fmSLP5OYPvYj7LLmJ0Cyw0GrhQ%3d
57,11,5,11,9,Steamboat,11,Mischief,22,/teams/events/match_report/?EventGameId=BhGm0zItLG50xvg14%2fmSLP5OYPvYj7LLmJ0Cyw0GrhQ%3d
