,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
5,7,Inomata Yuta,Mid,,1.0,3.0,4.0,,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,INOMATA YUTA
6,8,Shunya Abe,Handler,,,1.0,,1.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,SHUNYA ABE
7,10,Masahiro Matsuno,Mid,,1.0,10.0,1.0,3.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,MASAHIRO MATSUNO
8,11,Tetsuya Kamimura,Mid,,9.0,7.0,1.0,3.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,TETSUYA KAMIMURA
9,12,Yohei Kichikawa,Handler,,5.0,15.0,1.0,6.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,YOHEI KICHIKAWA
10,15,Shingo Wakaya,Mid,,1.0,,,1.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,SHINGO WAKAYA
11,16,Jun Kusano,Mid,,3.0,,,,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,JUN KUSANO
12,17,Daiki Furikado,Handler,,,4.0,,4.0,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,DAIKI FURIKADO
13,18,Takanori Furuzawa,Mid,,3.0,,1.0,,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,TAKANORI FURUZAWA
14,21,Yasuhiro Murata,Handler,,,,,,/events/teams/?EventTeamId=yXqkehI3aHLTTK8WcazXxVj7ZyTCxt6uGzd7Y%2f%2fqvIY%3d,Bunka Shutter Buzz Bullets,6,YASUHIRO MURATA
