,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
4,6,Rocco Essex-Linehan,,"6'0""",4.0,4.0,3.0,3.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,ROCCO ESSEX-LINEHAN
5,7,Jason (Jay) Clark,,"6'2""",10.0,4.0,2.0,5.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,JASON (JAY) CLARK
6,8,Michael Sender,,,2.0,1.0,,,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,MICHAEL SENDER
7,9,Ben Field,Mid,"5'11""",6.0,1.0,3.0,5.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,BEN FIELD
8,10,Willie Stewart,Handler,"6'2""",,2.0,,1.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,WILLIE STEWART
9,11,Mat Little,Handler,"5'10""",,,,,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,MAT LITTLE
10,12,Mac Hecht,,"6'2""",4.0,17.0,,8.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,MAC HECHT
11,14,Andrew Hooker,Defense (Handler),"6'0""",2.0,2.0,2.0,3.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,ANDREW HOOKER
12,16,Nathaniel Dick,,,1.0,4.0,,,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,NATHANIEL DICK
13,17,Jonah Kurman-Faber,,"5'11""",2.0,2.0,,,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,JONAH KURMAN-FABER
14,21,Ethan Bloodworth,Cutter,"5'11""",2.0,,1.0,4.0,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,ETHAN BLOODWORTH
15,22,Benjamin Tseytlin,,,1.0,,3.0,,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,BENJAMIN TSEYTLIN
16,23,Jeremy Bernier,,"6'0""",7.0,1.0,,,/events/teams/?EventTeamId=kWzNNcpBmG5PTUdHwKI61mo7M4GwqaWHx2NA3%2bibyrY%3d,DiG,8,JEREMY BERNIER
