,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
20,25,MK Andersen,,,6.0,,,1.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,MK ANDERSEN
21,31,Abby Shure,,,7.0,1.0,1.0,2.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,ABBY SHURE
22,33,Joann Wong,,,,,,,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,JOANN WONG
23,72,Jacqueline Jarik,,,4.0,7.0,7.0,12.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,JACQUELINE JARIK
24,84,Sarah Lipscomb,,"1'0""",6.0,1.0,,2.0,/events/teams/?EventTeamId=fwscC%2bknwUtTzLp8izgq4M5rI8r8i4M3aiyepw%2brOAo%3d,Nemesis,13,SARAH LIPSCOMB
0,1,Alexandra Fairley,,,7.0,,3.0,2.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,ALEXANDRA FAIRLEY
1,2,Emily Lloyd,,,,1.0,,,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,EMILY LLOYD
2,3,Paige Carver,Defense (Cutter),"5'0""",5.0,3.0,,12.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,PAIGE CARVER
3,8,Samantha Daugherty,,,12.0,1.0,5.0,9.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,SAMANTHA DAUGHERTY
4,9,Anraya Palmer,,"1'0""",,1.0,1.0,2.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,ANRAYA PALMER
5,11,Quincy Booth,,,1.0,,2.0,3.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,QUINCY BOOTH
6,16,Leah Tsinajinnie,,,4.0,12.0,,15.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,LEAH TSINAJINNIE
7,19,Kayla Emrick,,,4.0,8.0,2.0,16.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,KAYLA EMRICK
8,20,India Stubbs,,,5.0,13.0,4.0,22.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,INDIA STUBBS
9,24,Katherine Wooten,Handler,"5'11""",2.0,9.0,3.0,14.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,KATHERINE WOOTEN
10,25,Katherine Hines,,,2.0,,3.0,3.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,KATHERINE HINES
11,26,Catherine Woodhurst,Handler,"5'10""",4.0,8.0,4.0,13.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,CATHERINE WOODHURST
12,27,Meg Harris,,,5.0,1.0,4.0,8.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,MEG HARRIS
13,31,Samantha Stovall,,,1.0,9.0,3.0,7.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,SAMANTHA STOVALL
14,32,Michelle Yang,,,3.0,1.0,8.0,2.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,MICHELLE YANG
15,33,Ollie Peterson,,"5'2""",2.0,1.0,3.0,4.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,OLLIE PETERSON
16,37,Madeleine (Maddy) Frey,Cutter,"5'7""",3.0,2.0,1.0,5.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,MADELEINE (MADDY) FREY
17,44,Mira Walker,,,,,,,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,MIRA WALKER
18,52,Erynn Schroeder,Handler,"5'6""",14.0,6.0,2.0,6.0,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,ERYNN SCHROEDER
19,78,Charlotte Purcell,,,2.0,,,,/events/teams/?EventTeamId=zSqeVLD7Ld9tL7e%2fONK0aNWmCYiWbyy03bMcF3T7QlA%3d,Ozone,12,CHARLOTTE PURCELL
0,2,Jesse Shofner,,,,1.0,,2.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,JESSE SHOFNER
1,3,Liza Minor,,,7.0,2.0,1.0,1.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,LIZA MINOR
2,5,Nhi Nguyen,,"5'5""",6.0,3.0,1.0,1.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,NHI NGUYEN
