,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
1,10,11,10,15,7,Texas,10,14,Western Washington,37,/teams/events/match_report/?EventGameId=2wqrRRxEwe15baQWH67lwg0xcZ62V3h5XWkQkcFyPcQ%3d
0,11,7,11,14,19,Florida,11,15,Whitman,25,/teams/events/match_report/?EventGameId=38CSbg3tRfSZyq9G%2bBAhVE4zFYEO6gqWg1onw3tOgkE%3d
1,14,5,14,11,15,Whitman,14,19,Florida,20,/teams/events/match_report/?EventGameId=38CSbg3tRfSZyq9G%2bBAhVE4zFYEO6gqWg1onw3tOgkE%3d
0,15,9,15,7,12,Colorado,15,1,Dartmouth,9,/teams/events/match_report/?EventGameId=f19pHUFW30KwPRniyKO0%2fQNRFuAQFBscLASvKbVLIh8%3d
1,7,2,7,15,1,Dartmouth,7,12,Colorado,17,/teams/events/match_report/?EventGameId=f19pHUFW30KwPRniyKO0%2fQNRFuAQFBscLASvKbVLIh8%3d
0,11,2,11,15,16,North Carolina State,11,5,Oregon,21,/teams/events/match_report/?EventGameId=RxkbZ%2fc%2bbtcregzOxpC3c%2bRikBd3q3kCP2hgE92tSGU%3d
1,15,4,15,11,5,Oregon,15,16,North Carolina State,18,/teams/events/match_report/?EventGameId=RxkbZ%2fc%2bbtcregzOxpC3c%2bRikBd3q3kCP2hgE92tSGU%3d
0,12,19,12,8,7,Texas,12,12,Colorado,32,/teams/events/match_report/?EventGameId=uaoLsu3XoRCXhZxZsf%2bdSRv0Ia9CBihsLjjrnLF7Np8%3d
1,8,9,8,12,12,Colorado,8,7,Texas,35,/teams/events/match_report/?EventGameId=uaoLsu3XoRCXhZxZsf%2bdSRv0Ia9CBihsLjjrnLF7Np8%3d
0,15,12,15,7,19,Florida,15,6,British Columbia,26,/teams/events/match_report/?EventGameId=d3jTZn1sTwxHjTDLOJ3TfzuKQgojHMeQXA3Ft4Fbh%2f8%3d
1,7,7,7,15,6,British Columbia,7,19,Florida,34,/teams/events/match_report/?EventGameId=d3jTZn1sTwxHjTDLOJ3TfzuKQgojHMeQXA3Ft4Fbh%2f8%3d
0,14,13,14,9,20,Cornell,14,16,North Carolina State,16,/teams/events/match_report/?EventGameId=MVmzoqbVBqHO0sUZTkRRzNEeNKraJ8JVphE13iIlSb8%3d
1,9,10,9,14,16,North Carolina State,9,20,Cornell,17,/teams/events/match_report/?EventGameId=MVmzoqbVBqHO0sUZTkRRzNEeNKraJ8JVphE13iIlSb8%3d
0,11,12,11,15,10,Pittsburgh,11,5,Oregon,34,/teams/events/match_report/?EventGameId=WS1NP1hISSexzUgOpL2fy%2bKhFqKn13ba281HYNey1rU%3d
1,15,12,15,11,5,Oregon,15,10,Pittsburgh,31,/teams/events/match_report/?EventGameId=WS1NP1hISSexzUgOpL2fy%2bKhFqKn13ba281HYNey1rU%3d
0,8,8,8,15,12,Colorado,8,8,Tufts,25,/teams/events/match_report/?EventGameId=Q04wjFPVwegGuZcLsB%2fTxoOduwBDVTkPNJH2OXLYz1A%3d
1,15,10,15,8,8,Tufts,15,12,Colorado,22,/teams/events/match_report/?EventGameId=Q04wjFPVwegGuZcLsB%2fTxoOduwBDVTkPNJH2OXLYz1A%3d
0,15,7,14,16,10,Pittsburgh,15,6,British Columbia,25,/teams/events/match_report/?EventGameId=NaSHje98TxxePUQHLn0ahXpaJ4xTHihvTFTOOH5UFK8%3d
1,16,9,16,15,6,British Columbia,16,10,Pittsburgh,22,/teams/events/match_report/?EventGameId=NaSHje98TxxePUQHLn0ahXpaJ4xTHihvTFTOOH5UFK8%3d
0,8,5,8,15,18,Michigan,8,14,Western Washington,23,/teams/events/match_report/?EventGameId=AJneM18GgWlvFaAIKbPfnJpdBY465gcNdfBO30qy4hg%3d
1,15,10,15,8,14,Western Washington,15,18,Michigan,16,/teams/events/match_report/?EventGameId=AJneM18GgWlvFaAIKbPfnJpdBY465gcNdfBO30qy4hg%3d
0,15,13,15,6,17,California-Santa Barbara,15,1,Dartmouth,16,/teams/events/match_report/?EventGameId=7kAnpOT4ibanI3nrGGzr6cx4sJh2u5mZOswINZKaPgE%3d
1,6,8,6,15,1,Dartmouth,6,17,California-Santa Barbara,22,/teams/events/match_report/?EventGameId=7kAnpOT4ibanI3nrGGzr6cx4sJh2u5mZOswINZKaPgE%3d
0,13,12,13,9,16,North Carolina State,13,9,Ohio State,28,/teams/events/match_report/?EventGameId=arN73IKZ5yfufqaVb4ecOrWuskFHfX0k4pWNSLZR2vY%3d
1,9,9,9,13,9,Ohio State,9,16,North Carolina State,30,/teams/events/match_report/?EventGameId=arN73IKZ5yfufqaVb4ecOrWuskFHfX0k4pWNSLZR2vY%3d
0,15,8,15,6,13,West Chester,15,1,Dartmouth,5,/teams/events/match_report/?EventGameId=DEPL8%2b%2bd77iv3zLjq5EP0KCExJpMNuFjQV1NHz4C6r0%3d
1,6,1,6,15,1,Dartmouth,6,13,West Chester,15,/teams/events/match_report/?EventGameId=DEPL8%2b%2bd77iv3zLjq5EP0KCExJpMNuFjQV1NHz4C6r0%3d
0,12,8,12,8,4,Stanford,12,1,Dartmouth,12,/teams/events/match_report/?EventGameId=G98R28UY2iachTbZ56b6OSvUu0tUqpK5RpGJd5nNA%2b0%3d
1,8,8,8,12,1,Dartmouth,8,4,Stanford,12,/teams/events/match_report/?EventGameId=G98R28UY2iachTbZ56b6OSvUu0tUqpK5RpGJd5nNA%2b0%3d
0,12,8,12,13,18,Michigan,12,11,Carleton College,30,/teams/events/match_report/?EventGameId=OAoxAwxy14%2f7lsR1nu0RmpPviWIsesLxrgtuTkZE1BQ%3d
1,13,14,13,12,11,Carleton College,13,18,Michigan,26,/teams/events/match_report/?EventGameId=OAoxAwxy14%2f7lsR1nu0RmpPviWIsesLxrgtuTkZE1BQ%3d
0,9,5,9,15,1,Dartmouth,9,6,British Columbia,17,/teams/events/match_report/?EventGameId=lmQGUtm%2bmGotWvLhH9TySo2tCaADxwD6QWUr5gElYX0%3d
1,15,4,15,9,6,British Columbia,15,1,Dartmouth,13,/teams/events/match_report/?EventGameId=lmQGUtm%2bmGotWvLhH9TySo2tCaADxwD6QWUr5gElYX0%3d
0,15,4,15,10,15,Whitman,15,3,North Carolina,20,/teams/events/match_report/?EventGameId=M2y8tx4et8SzaRAOETkb6Pirooz9HBZ%2fprErLfQJHEE%3d
1,10,6,10,15,3,North Carolina,10,15,Whitman,23,/teams/events/match_report/?EventGameId=M2y8tx4et8SzaRAOETkb6Pirooz9HBZ%2fprErLfQJHEE%3d
0,11,19,11,10,17,California-Santa Barbara,11,12,Colorado,42,/teams/events/match_report/?EventGameId=zgmDhAYNr8WRl9G4O5jw9nOSx1VikD%2bP0yM8yDm%2fnR8%3d
1,10,14,10,11,12,Colorado,10,17,California-Santa Barbara,43,/teams/events/match_report/?EventGameId=zgmDhAYNr8WRl9G4O5jw9nOSx1VikD%2bP0yM8yDm%2fnR8%3d
0,12,10,12,7,9,Ohio State,12,4,Stanford,34,/teams/events/match_report/?EventGameId=EgHAp4BDU%2bZhF4MtNmtH8jLCtHJzn%2b6cF3vGj0CirvY%3d
1,6,9,5,12,4,Stanford,7,9,Ohio State,37,/teams/events/match_report/?EventGameId=EgHAp4BDU%2bZhF4MtNmtH8jLCtHJzn%2b6cF3vGj0CirvY%3d
0,15,13,15,4,20,Cornell,15,9,Ohio State,23,/teams/events/match_report/?EventGameId=7rCIzHkwX4oZqngjJCfzy6UURbraUaR6fmMQwQg6t6k%3d
1,4,8,4,15,9,Ohio State,4,20,Cornell,33,/teams/events/match_report/?EventGameId=7rCIzHkwX4oZqngjJCfzy6UURbraUaR6fmMQwQg6t6k%3d
