,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
2,,Krystal Dos Santos,,"5'5""",,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,KRYSTAL DOS SANTOS
3,0.0,Kimberly Morin Coulombe,,,,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,KIMBERLY MORIN COULOMBE
4,0.0,Sara Mar,,,,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,SARA MAR
5,0.0,Jessie Tsang,,,,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,JESSIE TSANG
6,0.0,Adrianna Rowe,,,,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,ADRIANNA ROWE
7,0.0,Alyssa Mason,,,,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,ALYSSA MASON
8,0.0,Anouchka Beaudry,,,,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,ANOUCHKA BEAUDRY
9,0.0,Brittney Dos Santos,Handler,"5'7""",,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,BRITTNEY DOS SANTOS
10,0.0,Christine Jurychuk,,,,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,CHRISTINE JURYCHUK
11,0.0,Cindy Truong,,,,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,CINDY TRUONG
12,0.0,Sarah Jacobsohn,,,,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,SARAH JACOBSOHN
13,11.0,Laura Kinoshita,,,,,,1.0,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,LAURA KINOSHITA
14,16.0,Jessica Chen,,,,,1.0,2.0,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,JESSICA CHEN
15,17.0,Nicolette Bertsch,,"5'7""",,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,NICOLETTE BERTSCH
16,20.0,Lauren Kimura,,"5'8""",2.0,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,LAUREN KIMURA
17,22.0,Sarah Bobak,,"5'7""",,,,1.0,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,SARAH BOBAK
18,28.0,Jenna McLeod,,,1.0,,,,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,JENNA MCLEOD
19,35.0,Molly Lewis,,,,,,2.0,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,MOLLY LEWIS
20,51.0,Sarah Innes,,,,1.0,,1.0,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,SARAH INNES
21,90.0,Jordan Meron,,,,1.0,,1.0,/events/teams/?EventTeamId=HbmMzmpzfaRHuGaRkupEtGob7yI1zl3SwIEAwhUybOQ%3d,6ixers,5,JORDAN MERON
0,,Claudia Tajima,,"5'6""",,,,,/events/teams/?EventTeamId=E7NNNVUpjjH6kl6OHmzwINxNnsx%2bLz%2bXlr%2bzalbEM00%3d,Brute Squad,2,CLAUDIA TAJIMA
1,,Courtney Verhaalen,,,,,,,/events/teams/?EventTeamId=E7NNNVUpjjH6kl6OHmzwINxNnsx%2bLz%2bXlr%2bzalbEM00%3d,Brute Squad,2,COURTNEY VERHAALEN
2,,Julianna Werffeli,,,,,,,/events/teams/?EventTeamId=E7NNNVUpjjH6kl6OHmzwINxNnsx%2bLz%2bXlr%2bzalbEM00%3d,Brute Squad,2,JULIANNA WERFFELI
3,,Kami Groom,,,,,,,/events/teams/?EventTeamId=E7NNNVUpjjH6kl6OHmzwINxNnsx%2bLz%2bXlr%2bzalbEM00%3d,Brute Squad,2,KAMI GROOM
4,,Lien Hoffmann,,"5'6""",,,,,/events/teams/?EventTeamId=E7NNNVUpjjH6kl6OHmzwINxNnsx%2bLz%2bXlr%2bzalbEM00%3d,Brute Squad,2,LIEN HOFFMANN
5,,Sophie Hulbert,,,,,,,/events/teams/?EventTeamId=E7NNNVUpjjH6kl6OHmzwINxNnsx%2bLz%2bXlr%2bzalbEM00%3d,Brute Squad,2,SOPHIE HULBERT
6,0.0,Erin Rea,,,,,,,/events/teams/?EventTeamId=E7NNNVUpjjH6kl6OHmzwINxNnsx%2bLz%2bXlr%2bzalbEM00%3d,Brute Squad,2,ERIN REA
7,0.0,Alex Ode,,"5'8""",,,,,/events/teams/?EventTeamId=E7NNNVUpjjH6kl6OHmzwINxNnsx%2bLz%2bXlr%2bzalbEM00%3d,Brute Squad,2,ALEX ODE
